,Applicant,Department,Admitted
0,Female,F,False
1,Male,A,True
2,Female,F,False
3,Male,A,False
4,Male,A,True
5,Female,C,False
6,Male,A,True
7,Female,C,False
8,Male,D,True
9,Male,C,True
10,Male,A,True
11,Male,F,False
12,Female,C,False
13,Male,A,True
14,Female,F,False
15,Male,B,True
16,Male,A,False
17,Male,F,False
18,Male,F,True
19,Female,A,True
20,Female,C,False
21,Female,C,False
22,Female,E,True
23,Male,D,True
24,Female,F,False
25,Male,D,True
26,Female,C,False
27,Male,B,True
28,Female,C,False
29,Male,F,False
30,Female,E,False
31,Male,D,False
32,Male,B,True
33,Female,A,False
34,Female,D,False
35,Female,D,False
36,Female,C,True
37,Female,F,False
38,Male,F,False
39,Female,F,False
40,Male,F,False
41,Female,C,False
42,Male,E,True
43,Male,B,True
44,Female,C,False
45,Female,D,False
46,Female,F,False
47,Female,D,True
48,Female,A,True
49,Male,A,True
50,Male,A,True
51,Male,F,False
52,Male,D,True
53,Male,B,False
54,Male,C,True
55,Male,B,True
56,Female,D,False
57,Female,D,True
58,Male,A,False
59,Female,F,True
60,Female,C,False
61,Male,A,False
62,Male,C,False
63,Female,C,False
64,Male,C,True
65,Female,E,False
66,Male,D,False
67,Female,C,False
68,Male,A,True
69,Male,A,True
70,Male,D,False
71,Female,E,True
72,Female,E,False
73,Male,D,False
74,Female,C,True
75,Female,F,False
76,Male,C,False
77,Male,C,False
78,Female,E,False
79,Female,E,True
80,Male,F,False
81,Female,A,False
82,Male,F,False
83,Male,A,True
84,Male,B,True
85,Male,F,False
86,Male,A,True
87,Male,A,True
88,Male,D,False
89,Male,B,True
90,Male,E,False
91,Male,B,True
92,Male,D,False
93,Male,F,False
94,Female,C,False
95,Female,D,False
96,Female,D,True
97,Female,F,False
98,Female,D,False
99,Female,E,True
100,Female,D,False
101,Male,D,False
102,Male,B,False
103,Female,D,True
104,Female,F,False
105,Male,B,True
106,Female,C,False
107,Male,D,True
108,Male,D,False
109,Male,B,True
110,Female,E,True
111,Female,A,True
112,Male,D,False
113,Female,D,False
114,Female,D,False
115,Male,C,True
116,Female,E,False
117,Male,D,True
118,Female,E,True
119,Male,F,False
120,Female,E,False
121,Male,F,False
122,Male,F,True
123,Female,C,True
124,Female,E,True
125,Female,F,True
126,Male,A,True
127,Male,C,False
128,Male,E,False
129,Female,E,False
130,Male,B,True
131,Male,B,False
132,Male,B,False
133,Male,A,False
134,Male,E,False
135,Male,B,True
136,Male,A,True
137,Male,F,False
138,Male,B,True
139,Female,E,False
140,Male,D,True
141,Male,A,True
142,Male,F,False
143,Female,C,False
144,Male,A,True
145,Male,A,False
146,Male,A,True
147,Male,B,True
148,Male,F,False
149,Male,B,True
150,Male,C,False
151,Male,A,True
152,Female,D,True
153,Female,C,False
154,Male,C,False
155,Female,C,False
156,Female,F,True
157,Male,A,False
158,Male,F,True
159,Male,F,False
160,Male,D,False
161,Male,C,False
162,Female,C,False
163,Male,B,True
164,Female,C,False
165,Female,D,True
166,Male,F,False
167,Male,B,False
168,Male,A,False
169,Male,F,False
170,Male,B,False
171,Male,A,True
172,Female,E,False
173,Female,D,False
174,Male,E,False
175,Male,B,True
176,Female,F,False
177,Male,F,False
178,Male,F,False
179,Female,D,True
180,Male,C,True
181,Male,C,False
182,Female,E,False
183,Male,C,False
184,Male,C,False
185,Female,C,True
186,Male,C,False
187,Female,C,True
188,Female,D,False
189,Male,F,False
190,Male,D,False
191,Male,F,False
192,Female,F,False
193,Female,D,False
194,Male,B,False
195,Female,C,True
196,Female,C,True
197,Male,A,True
198,Male,B,False
199,Female,C,True
200,Female,C,True
201,Female,C,False
202,Female,C,False
203,Male,A,False
204,Male,A,False
205,Male,A,True
206,Male,D,True
207,Female,C,False
208,Male,B,True
209,Male,A,True
210,Male,F,False
211,Male,A,True
212,Male,A,True
213,Female,A,True
214,Female,C,True
215,Male,C,False
216,Male,B,True
217,Male,C,False
218,Male,A,True
219,Female,E,False
220,Female,F,False
221,Female,C,True
222,Female,C,True
223,Female,C,False
224,Female,D,False
225,Male,A,True
226,Male,F,False
227,Female,C,False
228,Male,C,False
229,Female,E,True
230,Female,D,False
231,Female,C,False
232,Female,D,True
233,Male,C,True
234,Female,C,True
235,Male,B,False
236,Female,E,False
237,Male,B,True
238,Female,F,False
239,Male,A,False
240,Male,A,True
241,Male,C,False
242,Female,E,True
243,Female,C,False
244,Male,C,False
245,Male,B,False
246,Male,B,True
247,Female,E,False
248,Female,F,False
249,Male,F,False
250,Female,F,False
251,Female,C,False
252,Male,C,False
253,Male,A,True
254,Female,E,True
255,Male,D,False
256,Female,F,True
257,Male,A,True
258,Male,A,True
259,Male,D,False
260,Male,C,True
261,Female,C,False
262,Male,B,True
263,Male,A,True
264,Male,C,True
265,Male,F,False
266,Male,F,False
267,Female,D,False
268,Male,D,False
269,Male,B,True
270,Male,E,True
271,Male,F,False
272,Male,B,True
273,Female,E,True
274,Female,D,False
275,Male,B,True
276,Male,B,True
277,Male,A,True
278,Male,B,False
279,Female,D,False
280,Female,E,True
281,Male,A,True
282,Female,F,False
283,Male,A,False
284,Female,F,True
285,Female,A,True
286,Male,A,False
287,Male,C,False
288,Female,D,True
289,Female,F,False
290,Female,C,False
291,Male,A,True
292,Male,D,True
293,Female,C,False
294,Female,C,False
295,Female,E,True
296,Female,C,False
297,Male,E,False
298,Male,A,True
299,Male,A,True
300,Female,A,True
301,Male,B,False
302,Male,B,True
303,Female,D,True
304,Male,B,True
305,Male,A,False
306,Male,A,False
307,Male,F,False
308,Male,A,True
309,Male,C,True
310,Female,F,False
311,Male,A,True
312,Female,F,True
313,Male,A,True
314,Male,E,True
315,Female,C,False
316,Male,C,False
317,Male,A,False
318,Male,B,True
319,Female,C,False
320,Female,E,True
321,Female,C,False
322,Male,A,True
323,Male,D,False
324,Male,A,True
325,Female,D,True
326,Male,C,True
327,Male,A,True
328,Male,B,False
329,Male,A,False
330,Male,D,True
331,Male,B,True
332,Male,A,False
